Name,Brand,Taste,Date,Pic
Chips,Doritos,Peperoni Pizza,21/02/2023,img\chips\doritos_loaded_peperoni_pizza.jpg
Nibb it rings,Cheetos,?,21/12/2024,img\chips\IMG_20240813_185807.jpg
Tubes,Croky,Nacho Cheese,01/01/2024,img\chips\IMG_20240813_185828.jpg
Chips,Lays (Oven Baked),Cheese & Onion,01/01/2024,img\chips\IMG_20240813_185843.jpg
Chips,Lays (Oven Baked),Mediteranean Herbs,01/01/2024,img\chips\IMG_20240813_185900.jpg
Goals,Cheetos,Cheese,01/01/2024,img\chips\IMG_20240813_185919.jpg
Chips,Snack Daily,Sweet Potato,01/01/2024,img\chips\IMG_20240813_185933.jpg
Chips,Lays (MAX),Sourcream & Onion,01/01/2024,img\chips\IMG_20240813_185947.jpg
Chips,Lays,Hamburger,01/01/2024,img\chips\IMG_20240813_190017.jpg
Ribbel,Albert Hein,Paprika,01/01/2024,img\chips\IMG_20240813_190034.jpg
Chips,Pirato,Ketchup,01/01/2024,img\chips\IMG_20240813_190056.jpg
Chips,Pirato,Pepper & Salt,01/01/2024,img\chips\IMG_20240813_190140.jpg
Chips,Pirato,Pickle,01/01/2024,img\chips\IMG_20240813_190201.jpg
Chips,Pirato,Naturel,01/01/2024,img\chips\IMG_20240813_190221.jpg
Chips,Chio,Pom-Bar,01/01/2024,img\chips\IMG_20240813_190317.jpg
Chips,Brets,Pesto Mozarella,,img\chips\IMG_20240813_190347.jpg
Chips,Brets,Onion,,img\chips\IMG_20240813_190406.jpg
Chips,Brets,Camembert,,img\chips\IMG_20240813_190429.jpg
Chips,Brets,Aioli,,img\chips\IMG_20240813_190452.jpg
Chips,Brets,Yakitori,,img\chips\IMG_20240813_190513.jpg
Chips,Brets,Honey Mustard,,img\chips\IMG_20240813_190535.jpg
Chips,Doritos,Barbeque,,img\chips\IMG_20240813_190554.jpg
Chips,Lays (MAX),Ketchup,,img\chips\IMG_20240813_190613.jpg
Chips,Croky,Naturel,,img\chips\IMG_20240813_190633.jpg
Chips,O'Donnels,Cheddar Cheese,,img\chips\IMG_20240813_190708.jpg
Chips,Cheetos,Sweet Chilli,,img\chips\IMG_20240813_190805.jpg
Chips,Deluxe,Sea Salt,,img\chips\IMG_20240813_190825.jpg
Chips,Doritos,Nacho Cheese,,img\chips\IMG_20240813_190844.jpg
Chips,Deluxe,Sea Salt & Vinegar,,img\chips\IMG_20240813_190905.jpg
Chips,Brets,Pastis,,img\chips\IMG_20240813_190928.jpg
Chips,Lays (MAX),Pickle,,img\chips\IMG_20240813_190948.jpg
Chips,Croky,Paprika,,img\chips\IMG_20240813_191010.jpg
Chips,Croky,Pepper & Salt,,img\chips\IMG_20240813_191035.jpg
Chips,Lays,Sweet Chilli,,img\chips\IMG_20240813_191054.jpg
Chips,Deluxe,Sweet Chilli,,img\chips\IMG_20240813_191120.jpg
Chips,Deluxe,Cheese & Onion,,img\chips\IMG_20240813_191144.jpg
Chips,?,Oregano,,img\chips\IMG_20240813_191205.jpg
Chips,Lays (MAX),Sweet Chilli,,img\chips\IMG_20240813_191258.jpg
Chips,Lays (Oven Baked),Barbeque,,img\chips\IMG_20240813_191258.jpg
Chips,Deluxe,Sea Salt & Vinegar,,img\chips\sd_seasal_balsamic_vinegar.jpg
Snuggles,Snack Daily,Sweet Chilli,,img\chips\sd_seasal_balsamic_vinegar.jpg
